0,group,name,rows,cols,nnz
0,Goodwin,rim,22560,22560,1014951
0,Schenk_IBMSDS,3D_51448_3D,51448,51448,1056610
0,Schenk_IBMSDS,ibm_matrix_2,51448,51448,1056610
0,TSOPF,TSOPF_RS_b39_c30,60098,60098,1079986
0,FIDAP,ex11,16614,16614,1096948
0,Mancktelow,viscorocks,37762,37762,1162244
0,Ronis,xenon1,48600,48600,1181120
0,VanVelzen,std1_Jac2,21982,21982,1248731
0,Li,li,22695,22695,1350309
0,CEMW,vfem,93476,93476,1434636
0,VanVelzen,std1_Jac3,21982,21982,1455848
0,TSOPF,TSOPF_RS_b300_c1,14538,14538,1474325
0,Simon,raefsky3,21200,21200,1488768
0,Mallya,lhr71c,70304,70304,1528092
0,Mallya,lhr71,70304,70304,1528092
0,VanVelzen,Zd_Jac2,22835,22835,1642833
0,Vavasis,av41092,41092,41092,1683902
0,VanVelzen,Zd_Jac6,22835,22835,1711983
0,Simon,venkat50,62424,62424,1717792
0,Simon,venkat01,62424,62424,1717792
0,Simon,venkat25,62424,62424,1717792
0,Lee,fem_filter,74062,74062,1731206
0,Simon,bbmat,38744,38744,1771722
0,POLYFLOW,invextr1_new,30412,30412,1793881
0,Simon,appu,14000,14000,1853104
0,VanVelzen,Zd_Jac3,22835,22835,1916152
0,QCD,conf5_4-8x8-20,49152,49152,1916928
0,QCD,conf5_4-8x8-05,49152,49152,1916928
0,QCD,conf5_4-8x8-10,49152,49152,1916928
0,QCD,conf6_0-8x8-20,49152,49152,1916928
0,QCD,conf6_0-8x8-80,49152,49152,1916928
0,QCD,conf5_4-8x8-15,49152,49152,1916928
0,QCD,conf6_0-8x8-30,49152,49152,1916928
0,POLYFLOW,mixtank_new,29957,29957,1995041
0,Rudnyi,water_tank,60740,60740,2035281
0,Bova,rma10,46835,46835,2374001
0,TSOPF,TSOPF_RS_b300_c2,28338,28338,2943887
0,Raju,laminar_duct3D,67173,67173,3833077
0,TSOPF,TSOPF_RS_b678_c1,18696,18696,4396289
0,TSOPF,TSOPF_RS_b300_c3,42138,42138,4413449
0,Muite,Chebyshev4,68121,68121,5377761
0,TSOPF,TSOPF_RS_b2052_c1,25626,25626,6761100
0,TSOPF,TSOPF_RS_b678_c2,35696,35696,8781949
0,TSOPF,TSOPF_RS_b2383_c1,38120,38120,16171169
0,TSOPF,TSOPF_RS_b2383,38120,38120,16171169
